Income,Post-code,Employed,Home Owner,Education,Gender,Balance,Age,Colour,Fraud
52000,A7,Yes,Y,S ,Female,21400,34,Yellow,N
45000,J2,Yes,Y,U,Male,300,65,Blue,N
12300,B5,N,N,School,M,2350,25,Red,1
35200,M2,N,N,Uni ,M,4500,29,Green,N
5500,F8,N,N,School,F,4590,23,Red,Y
32250,G5,Yes,Y,Uni ,Male,52000,34,Yellow,0
11250,B8,N,N,School,F,4500,22,Red,Y
7450,M2,N,N,S,Male,2350,25,Red,Y
15600,L3,N,N,Coll ,Female,150,18,Red,1
46530,T6,Y,Y,Coll,M,30000,25,Green,N
22450,E7,N,Y, ,Female,5400,36,Yellow,0
45000,F7,Y,Yes,School,Male,54500,25,Blue,N
12340,H3,N,N,School,Male,300,21,Red,Y
35200,T9,Y,Y,Uni ,Male,43000,25,Pink,N
68540,C5,Yes,Yes,Uni,F,56500,37,Pink,N
54350,C9,N,Y,Uni,Female,4300,54,Yellow,N
32480,G3,Yes,N,,M,25450,33,Yellow,N
84560,T5,Y,Y,U,M,23000,54,Blue,N
8650,N6,N,N,School,Male,545,19,Red,Y
37650,B3,N,N,S ,M,300,43,Yellow,N
9225,S2,N,N,School,Female,4535,25,Red,Y
32450,A5,Y,Y,Uni ,F,,43,Pink,N
12400,W3,No,N,School,F,1200,23,Red,N
21500,V5,N,N,Coll ,M,2345,21,Red,Yes
45050,G8,Y,Y,University,Male,54500,54,Yellow,N
11250,D4,N,N,School,F,3250,29,Red,1
7450,D1,N,N,Coll,Male,4560,19,Red,Y
12250,F5,N,N,Uni ,F,300,25,Yellow,N
8450,,N,N,S,M,2455,23,Red,Y
